; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
30118	30118	L
30119	30119	L
30136	30136	L
30137	30137	L
30140	30140	L
30144	30144	L
30145	30145	L
30147	30147	L
30150	30150	LS
30151	30151	L
30156	30156	L
30159	30159	L
30161	30161	L
30162	30162	L
30165	30165	L
30167	30167	L
30180	30180	L
30181	30181	L
30182	30182	LS
30183	30183	LS
302	0302	L
3020	3020	L
302021	302021	L
3021	3021	L
302101	302101	L
30219	30219	L
3022	3022	L
3023	3023	L
302323	302323	L
30236	30236	L
30237	30237	L
3024	3024	L
30244	30244	L
30249	30249	L
3024ptc2	3024ptc2	L
3024ptc3	3024ptc3	L
30250	30250	L
30256	30256	L
3026	3026	L
3027	3027	L
30277	30277	L
3028	3028	L
30283	30283	LS
30285	30285	L
3029	3029	L
3030	3030	L
3031	3031	L
3032	3032	L
30322	30322	L
303223	303223	L
303226	303226	L
3033	3033	L
30337	30337	L
3034	3034	L
30340	30340	L
3035	3035	L
30350	30350	L
30355	30355	L
30356	30356	L
30357	30357	L
30359	30359	L
30359	30359a	L
30359b	30359b	L
3036	3036	L
30361	30361a	L
30363	30363	LS
30364	30364	L
30365	30365	L
30367	30367	L
30367	30367a	L
30367b	30367b	L
30367c	30367	L
3037	3037	LS
30370	30370	L
30374	30374	L
30375	30375	L
30377	30377	L
3038	3038	LS
30383	30383	L
30386	30386	L
30387	30387	L
30388	30388	L
30389	30389	L
30389	30389a	L
30389b	30389b	L
3039	3039	LS
30391	30391	L
303923	303923	L
30395	30395	L
3039p05	3039p05	LS
3039p10	3039p10	LS
3039p23	3039p23	LS
3039p32	3039p32	LS
3039p33	3039p33	LS
3039p34	3039p34	LS
3039p68	3039p68	LS
3039pc1	3039pc1	LS
3039pc3	3039pc3	LS
3039pc4	3039pc4	LS
3039pc5	3039pc5	LS
3039pc6	3039pc6	LS
3039pc7	3039pc7	LS
3039pc8	3039pc8	LS
3040	3040	LS
30400	30400	L
30407	30407	L
3040	3040a	LS
3040b	3040b	LS
3040p01	3040p01	LS
3040p05	3040p05	LS
3040p32	3040p32	LS
3040p33	3040p33	LS
3041	3041	LS
30413	30413	L
30414	30414	L
3042	3042	LS
3043	3043	LS
3044	3044	LS
3044	3044a	LS
3044b	3044b	LS
3044p37	3044p37	LS
3045	3045	LS
3046	3046	LS
3048	3048	LS
3049	3049	LS
30499	30499	LS
3049	3049a	LS
3049b	3049b	LS
3049c	3049	LS
30503	30503	L
30504	30504	L
30505	30505	L
30526	30526	L
30540	30540	L
30541	30541	L
30552	30552	L
30553	30553	L
30554	30554	L
30562	30562	L
30565	30565	L
3058	3058	L
3058b	3058b	L
30592	30592	L
306	0306	L
30602	30602	L
30621	3062	L
3062b	3062a	L
3062-ol	3062b	L
3063	3063	L
3063b	3063b	L
30648	30648	L
3065	3065	L
3066	3066	L
3067	3067	L
3068	3068	L
3068	3068a	L
3068b	3068b	L
3068bp07	3068bp07	L
3068bp08	3068bp08	L
3068bp0	3068bp0a	L
3068bp0	3068bp0d	L
3068bp51	3068bp51	L
3068bp61	3068bp61	L
3068bp68	3068bp68	L
3068bp69	3068bp69	L
3068bp91	3068bp91	L
3068bp92	3068bp92	L
3068bp93	3068bp93	L
3068bp94	3068bp94	L
3068bp95	3068bp95	L
3068bp96	3068bp96	L
3068bpc1	3068bpc1	L
3069	3069	L
306901	306901	L
3069	3069a	L
3069b	3069b	L
3069bp01	3069bp01	L
3069bp02	3069bp02	L
3069bp05	3069bp05	L
3069bp06	3069bp06	L
3069bp07	3069bp07	L
3069bp12	3069bp12	L
3069bp13	3069bp13	L
3069bp14	3069bp14	L
3069bp15	3069bp15	L
3069bp21	3069bp21	L
3069bp25	3069bp25	L
3069bp28	3069bp28	L
3069bp61	3069bp61	L
3069bp68	3069bp68	L
3069bp80	3069bp80	L
3069bps3	3069bps3	L
3069bps4	3069bps4	L
3069bps5	3069bps5	L
3069bpz0	3069bpz0	L
3069bpz1	3069bpz1	L
3069bpz2	3069bpz2	L
3069bpz3	3069bpz3	L
3069bpz6	3069bpz6	L
3069bpz7	3069bpz7	L
3069bpz8	3069bpz8	L
3069bpz9	3069bpz9	L
3069bpz	3069bpza	L
3069bpzb	3069bpzb	L
307	0307	L
3070	3070	L
307024	307024	L
3070	3070a	L
3070b	3070b	L
3070bp00	3070bp00	L
3070bp06	3070bp06	L
3070bpc2	3070bpc2	L
3081	3081a	L
3081ac01	3081ac01	L
3081b	3081b	L
3081bc01	3081bc01	L
3081c	3081	L
3081cc01	3081cc01	L
3082	3082	L
309	0309	L
309p03	0309p03	L
309p04	0309p04	L
31	0031	L
3109	3109	L
3110	3110	L
3111	3111	L
3112	3112	L
3127	3127a	L
3127b	3127b	L
313	0313	L
3134	3134	L
3135	3135	LS
3135c01	3135c01	LS
3135c02	3135c02	LS
3135c03	3135c03	LS
3136	3136	L
3137	3137	L
3137	3137a	L
3137b	3137b	L
3137c01	3137c01	L
3137c02	3137c02	L
3139	3139	L
314	0314	L
3144	3144	L
3145	3145	L
3149	3149	L
3149	3149a	L
3149b	3149b	L
3149c	3149	L
3149c01	3149c01	L
3149	3149d	L
3149dc01	3149dc01	L
3149e	3149e	L
3149ec01	3149ec01	L
314	0314d	L
314e	0314e	L
3176	3176	L
3183	3183	L
3184	3184	L
3185	3185	L
3186	3186	L
3187	3187	L
3188	3188	L
3189	3189	L
3192	3192	L
3193	3193	L
3194	3194	L
3195	3195	L
31	0031a	L
31ac01	0031ac01	L
31b	0031b	L
31bc01	0031bc01	L
31c	0031	L
31cc01	0031cc01	L
32	0032	L
32000	32000	L
32001	32001	L
32002	32002	L
32005	32005	L
32009	32009	L
32013	32013	L
32014	32014	L
32015	32015	L
32016	32016	L
32017	32017	L
32018	32018	L
32028	32028	L
32034	32034	L
32039	32039	L
32054	32054	L
32056	32056	L
32059	32059	L
32062	32062	L
32063	32063	L
32064	32064	L
32064	32064a	L
32064b	32064b	L
32065	32065	L
32068	32068	L
32073	32073	L
32083	32083	LS
321	0321	L
32123	32123	L
32123	32123a	L
32123b	32123b	L
32124	32124	L
32125	32125	L
32126	32126	L
32132	32132	L
32140	32140	L
32184	32184	L
32185	32185	L
32187	32187	L
32192	32192	L
32198	32198	L
32209	32209	L
32250	32250	L
32271	32271	L
32278	32278	L
3228b	3228b	L
32291	32291	L
32294	32294	L
32316	32316	L
32324	32324	L
32348	32348	L
324	0324	L
32449	32449	L
3245	3245a	L
3245b	3245b	L
3245c	3245	L
3245cpz0	3245cpz0	L
3245cpz1	3245cpz1	L
3245cpz2	3245cpz2	L
32474	32474	L
32474p01	32474p01	L
32523	32523	L
32524	32524	L
32525	32525	L
32526	32526	L
32529	32529	L
32530	32530	L
32531	32531	L
32557	32557	L
3278	3278	L
32828	32828	L
32952	32952	L
3297	3297	LS
3297p01	3297p01	LS
3297p02	3297p02	LS
3297p03	3297p03	LS
3297p90	3297p90	LS
3298	3298	LS
3298p17	3298p17	LS
3298p18	3298p18	LS
3298p20	3298p20	LS
3298p53	3298p53	LS
3298p61	3298p61	LS
3298p68	3298p68	LS
3298p69	3298p69	LS
3298p90	3298p90	LS
3299	3299	LS
32ac01	0032ac01	L
32bc01	0032bc01	L
32cc01	0032cc01	L
33	0033	L
3300	3300	LS
3307	3307	L
3308	3308	L
3315	3315	L
3317	3317	L
33176	33176	L
3324	3324	L
3324	3324a	L
3324c01	3324c01	L
3324	3324d	L
3324dc01	3324dc01	L
3324e	3324e	L
3324ec01	3324ec01	L
3326	3326	L
3326b	3326b	L
33291	33291	L
3334	3334	L
335	0335	L
3350	3350	L
3358	3358	L
